date,from,value_m3
2021-01-30,United Kingdom,-24633812.77200462
2021-01-31,Algeria,85667459.63229416
2021-01-31,Azerbaijan,15149610.089706011
2021-01-31,Libya,7795093.436362022
2021-01-31,LNG,107300245.64348522
2021-01-31,Morocco,21989087.219113596
2021-01-31,Norway,198457671.88915533
2021-01-31,Russia,422478587.7635669
2021-01-31,United Kingdom,-22882180.92192912
2021-02-01,Algeria,85797679.18998134
2021-02-01,Azerbaijan,16138536.81499245
2021-02-01,Libya,8312241.140420997
2021-02-01,LNG,138893195.8077982
2021-02-01,Morocco,21934290.25668354
2021-02-01,Norway,193441779.0034639
2021-02-01,Russia,425395133.9985789
2021-02-01,United Kingdom,-6517110.7558397725
2021-02-02,Algeria,85674195.75450751
2021-02-02,Azerbaijan,14982328.004263256
2021-02-02,Libya,10768944.133582022
2021-02-02,LNG,148738220.15276667
2021-02-02,Morocco,21972544.71977973
2021-02-02,Norway,192828307.60280663
2021-02-02,Russia,424815516.5796251
2021-02-02,United Kingdom,2532949.3738342654
2021-02-03,Algeria,85686857.00328626
2021-02-03,Azerbaijan,15333688.515853982
2021-02-03,Libya,10698896.704858337
2021-02-03,LNG,140061377.14717114
2021-02-03,Morocco,22122460.875743847
2021-02-03,Norway,193318262.58104628
2021-02-03,Russia,428717530.7475797
2021-02-03,United Kingdom,3558439.2930100374
2021-02-04,Algeria,85751908.51763034
2021-02-04,Azerbaijan,14999978.150812684
2021-02-04,Libya,10201837.108091304
2021-02-04,LNG,150051477.40474287
2021-02-04,Morocco,22052155.34239275
2021-02-04,Norway,201644999.45821118
2021-02-04,Russia,433458272.90700775
2021-02-04,United Kingdom,5387215.738520294
2021-02-05,Algeria,85569214.85034195
2021-02-05,Azerbaijan,14544894.928501643
2021-02-05,Libya,11195935.42943423
2021-02-05,LNG,144216691.11821654
2021-02-05,Morocco,21987019.362287942
2021-02-05,Norway,206181682.0143885
2021-02-05,Russia,434133316.1749711
2021-02-05,United Kingdom,4153264.4995115027
2021-02-06,Algeria,85538556.7101874
2021-02-06,Azerbaijan,12048405.808686385
2021-02-06,Libya,9250057.909228172
2021-02-06,LNG,134314414.18420818
2021-02-06,Morocco,21186777.0672351
2021-02-06,Norway,206308113.21609378
2021-02-06,Russia,432550748.2733813
2021-02-06,United Kingdom,5449362.110311752
2021-02-07,Algeria,86088013.14503951
2021-02-07,Azerbaijan,13700407.140953904
2021-02-07,Libya,8772099.209521271
2021-02-07,LNG,133018003.38395949
2021-02-07,Morocco,21188844.835242916
2021-02-07,Norway,209743746.22968292
2021-02-07,Russia,428905145.6391331
2021-02-07,United Kingdom,668838.9732658323
2021-02-08,Algeria,85815598.36575183
2021-02-08,Azerbaijan,14484762.589928055
2021-02-08,Libya,10219112.176925126
2021-02-08,LNG,160205343.21875831
2021-02-08,Morocco,21760594.191313617
2021-02-08,Norway,201481815.0901501
2021-02-08,Russia,427026336.4801492
2021-02-08,United Kingdom,-612041.0338395946
2021-02-09,Algeria,85039165.4676259
2021-02-09,Azerbaijan,14477211.208810728
2021-02-09,Libya,11692293.454125589
2021-02-09,LNG,173196934.87876365
2021-02-09,Morocco,21813323.385735855
2021-02-09,Norway,189331936.69064748
2021-02-09,Russia,427072240.4699352
2021-02-09,United Kingdom,-3980987.032596145
2021-02-10,Algeria,86320549.5159428
2021-02-10,Azerbaijan,14494218.758326672
2021-02-10,Libya,11693921.04094502
2021-02-10,LNG,184690176.4899192
2021-02-10,Morocco,21902239.186428633
2021-02-10,Norway,192430682.89848122
2021-02-10,Russia,428616316.62314594
2021-02-10,United Kingdom,1444241.0516031645
2021-02-11,Algeria,85849522.16004974
2021-02-11,Azerbaijan,14522212.896349588
2021-02-11,Libya,10222643.574029664
2021-02-11,LNG,207174015.32995826
2021-02-11,Morocco,22188630.78426148
2021-02-11,Norway,206083051.1857181
2021-02-11,Russia,437834747.40651923
2021-02-11,United Kingdom,8403852.651212364
2021-02-12,Algeria,85238303.93463007
2021-02-12,Azerbaijan,16343685.496047609
2021-02-12,Libya,10213865.973887555
2021-02-12,LNG,223436525.1887379
2021-02-12,Morocco,22514310.862421177
2021-02-12,Norway,219662330.47339907
2021-02-12,Russia,436400542.4975575
2021-02-12,United Kingdom,5065432.276401103
2021-02-13,Algeria,85428624.9222844
2021-02-13,Azerbaijan,16312489.030997423
2021-02-13,Libya,8780220.712319033
2021-02-13,LNG,180881950.91926458
2021-02-13,Morocco,21682017.49711342
2021-02-13,Norway,211495779.08339995
2021-02-13,Russia,428705563.39994675
2021-02-13,United Kingdom,6568440.270006215
2021-02-14,Algeria,84728618.88267164
2021-02-14,Azerbaijan,12079611.155520028
2021-02-14,Libya,8766904.076738609
2021-02-14,LNG,166385933.42215115
2021-02-14,Morocco,21613779.73177014
2021-02-14,Norway,201754315.6932232
2021-02-14,Russia,420865632.978062
2021-02-14,United Kingdom,3760494.804156674
2021-02-15,Algeria,85384728.3062439
2021-02-15,Azerbaijan,16908965.893951505
2021-02-15,Libya,12164354.64961364
2021-02-15,LNG,185936898.29469758
2021-02-15,Morocco,22772787.01483258
2021-02-15,Norway,222363274.57145393
2021-02-15,Russia,429093376.75992537
2021-02-15,United Kingdom,6550226.39666045
2021-02-16,Algeria,85852006.3948841
2021-02-16,Azerbaijan,17840970.246025402
2021-02-16,Libya,7795179.678479439
2021-02-16,LNG,201377847.76623145
2021-02-16,Morocco,22653888.000710543
2021-02-16,Norway,219177979.60742515
2021-02-16,Russia,426564903.97370994
2021-02-16,United Kingdom,12533449.684696687
2021-02-17,Algeria,84938302.51354471
2021-02-17,Azerbaijan,18270262.72315481
2021-02-17,Libya,9255731.1484146
2021-02-17,LNG,202080224.86011192
2021-02-17,Morocco,22202071.587174702
2021-02-17,Norway,219063263.64686027
2021-02-17,Russia,409589370.5995204
2021-02-17,United Kingdom,14541710.453859134
2021-02-18,Algeria,85045086.95266008
2021-02-18,Azerbaijan,16049384.314770406
2021-02-18,Libya,7313447.64188649
2021-02-18,LNG,209215212.4078515
2021-02-18,Morocco,22129698.196997955
2021-02-18,Norway,222905607.86926013
2021-02-18,Russia,386456624.13979924
2021-02-18,United Kingdom,11380123.900879296
2021-02-19,Algeria,85545687.36122213
2021-02-19,Azerbaijan,15127623.945288211
2021-02-19,Libya,9255607.691624478
2021-02-19,LNG,195620984.50128785
2021-02-19,Morocco,22129698.196997955
2021-02-19,Norway,213276247.86801672
2021-02-19,Russia,375911179.02033925
2021-02-19,United Kingdom,8022358.291144861
2021-02-20,Algeria,85494824.67359446
2021-02-20,Azerbaijan,14807732.924771294
2021-02-20,Libya,5367413.180566657
2021-02-20,LNG,153048965.05906385
2021-02-20,Morocco,21287065.81401545
2021-02-20,Norway,209827809.8232525
2021-02-20,Russia,346514802.21422863
2021-02-20,United Kingdom,3650443.8227196
2021-02-21,Algeria,85429866.32915889
2021-02-21,Azerbaijan,13901768.096633803
2021-02-21,Libya,8271474.73132605
2021-02-21,LNG,160053540.74074075
2021-02-21,Morocco,21114403.76587619
2021-02-21,Norway,210557480.48672172
2021-02-21,Russia,352963486.7661426
2021-02-21,United Kingdom,3779274.091837639
2021-02-22,Algeria,85419921.84030554
2021-02-22,Azerbaijan,13405625.544009237
2021-02-22,Libya,10704808.064659383
2021-02-22,LNG,218062213.66018295
2021-02-22,Morocco,22653888.000710543
2021-02-22,Norway,212296426.0413891
2021-02-22,Russia,348594172.8617106
2021-02-22,United Kingdom,2208756.195043966
2021-02-23,Algeria,82899844.21351807
2021-02-23,Azerbaijan,11485282.973621102
2021-02-23,Libya,11183958.87734257
2021-02-23,LNG,204582991.50013322
2021-02-23,Morocco,22354055.599964473
2021-02-23,Norway,196287927.08055776
2021-02-23,Russia,345131676.34248155
2021-02-23,United Kingdom,10705815.436539656
2021-02-24,Algeria,85096736.65512034
2021-02-24,Azerbaijan,12461798.827604584
2021-02-24,Libya,10753562.927435828
2021-02-24,LNG,175162674.8467892
2021-02-24,Morocco,21706831.157296386
2021-02-24,Norway,204920639.15978327
2021-02-24,Russia,349222827.7431388
2021-02-24,United Kingdom,13681969.535482725
2021-02-25,Algeria,85130627.85327293
2021-02-25,Azerbaijan,8580538.324895639
2021-02-25,Libya,9770895.994315658
2021-02-25,LNG,192691231.20170528
2021-02-25,Morocco,22301326.405542232
2021-02-25,Norway,205123188.6046718
2021-02-25,Russia,348821768.1850786
2021-02-25,United Kingdom,12480483.337774225
2021-02-26,Algeria,85252032.3296918
2021-02-26,Azerbaijan,10717924.68247624
2021-02-26,Libya,9737225.952571277
2021-02-26,LNG,190044388.08952838
2021-02-26,Morocco,22433666.222577497
2021-02-26,Norway,210062433.21787015
2021-02-26,Russia,363789669.280167
2021-02-26,United Kingdom,11653833.55537792
2021-02-27,Algeria,84722681.32160938
2021-02-27,Azerbaijan,12784811.795008438
2021-02-27,Libya,9744009.325872635
2021-02-27,LNG,177695673.45234922
2021-02-27,Morocco,20912792.25508482
2021-02-27,Norway,210592059.2947864
2021-02-27,Russia,394208404.67270625
2021-02-27,United Kingdom,5486969.890754065
2021-02-28,Algeria,84459661.515232265
2021-02-28,Azerbaijan,12778071.942446042
2021-02-28,Libya,9736111.11111111
2021-02-28,LNG,176723362.19912958
2021-02-28,Morocco,21171268.49631406
2021-02-28,Norway,211230240.52757794
2021-02-28,Russia,394679528.8435918
2021-02-28,United Kingdom,4315620.481392663
2021-03-01,Algeria,85654918.73168132
2021-03-01,Azerbaijan,13918528.910205169
2021-03-01,Libya,10249186.428634867
2021-03-01,LNG,226208214.96580514
2021-03-01,Morocco,22933042.27728928
2021-03-01,Norway,212745607.44293454
2021-03-01,Russia,403721298.74678034
2021-03-01,United Kingdom,10889984.190425437
2021-03-02,Algeria,82745952.21600497
2021-03-02,Azerbaijan,14916338.30713207
2021-03-02,Libya,8775693.66728839
2021-03-02,LNG,239849165.11235455
2021-03-02,Morocco,23155331.823430143
2021-03-02,Norway,205721967.4660272
2021-03-02,Russia,416257295.1718625
2021-03-02,United Kingdom,10873087.4855671
2021-03-03,Algeria,85623315.0368594
2021-03-03,Azerbaijan,14295905.142552624
2021-03-03,Libya,10235591.526778577
2021-03-03,LNG,238088946.4517275
2021-03-03,Morocco,22994042.63256062
2021-03-03,Norway,199861153.13971046
2021-03-03,Russia,419570699.30278
2021-03-03,United Kingdom,9432367.172928322
2021-03-04,Algeria,85816640.90949462
2021-03-04,Azerbaijan,14078496.136424191
2021-03-04,Libya,9764998.845368149
2021-03-04,LNG,232406532.90700772
2021-03-04,Morocco,22925804.95603517
2021-03-04,Norway,183212277.78665954
2021-03-04,Russia,422355207.8713029
2021-03-04,United Kingdom,9713998.04600764
2021-03-05,Algeria,85297137.57882583
2021-03-05,Azerbaijan,13547784.35029754
2021-03-05,Libya,11226179.67847944
2021-03-05,LNG,233083059.75663912
2021-03-05,Morocco,22790363.44257927
2021-03-05,Norway,184647194.44000354
2021-03-05,Russia,422805991.17417175
2021-03-05,United Kingdom,8070720.1350031085
2021-03-06,Algeria,85761326.22790657
2021-03-06,Azerbaijan,13541144.32898126
2021-03-06,Libya,10238159.250377476
2021-03-06,LNG,225484301.2345679
2021-03-06,Morocco,20860063.149480417
2021-03-06,Norway,185828667.94564348
2021-03-06,Russia,423016749.6056488
2021-03-06,United Kingdom,-7539436.806110667
