Name,Volume of Imports: Steam Coal: Russian Federation,Value of Imports: Steam Coal: Russian Federation,Volume of Imports: Coking Coal: Russian Federation,Value of Imports: Coking Coal: Russian Federation,Value of Imports: Coal: Russian Federation,Volume of Imports: Coal: Russian Federation,Value of Imports: Natural Gas(271121),Volume of Imports: Liquified Natural Gas (LNG): Russian Federation,Value of Imports: Liquified Natural Gas(271111),Volume of Imports: Pipeline Carried Natural Gas (Gaseous State): Russian Federation,Value of Imports: Pipeline Carried Natural Gas (Gaseous State): Russian Federation,Volume of Imports: Crude Oil: Russian Federation,Value of Imports: Crude Oil: Russian Federation
ID,S5103091,S5103096,S5103143,S5103148,S5103050,S5103045,R5881679,S5118566,Z1785825,S5151677,S5151679,S5429087,S5429119
Frequency,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly,Monthly
Unit,ton,USD,ton,USD,USD,ton,USD,kg,USD,kg,USD,kg,USD
Source,China Customs,China Customs,China Customs,China Customs,China Customs,China Customs,Customs Statistics Data Platform,China Customs,Customs Statistics Data Platform,China Customs,China Customs,China Customs,China Customs
Time Period,2004-04:2022-03,2006-09:2022-03,2005-07:2022-03,2006-11:2022-03,2007-02:2022-03,2004-04:2022-03,2017-01:2022-03,2010-01:2022-03,2017-01:2022-03,2019-12:2021-12,2019-12:2022-03,1995-04:2022-03,1995-04:2022-03
1997-09,,,,,,,,,,,,"68,016,409.00","7,880,378.00"
1997-10,,,,,,,,,,,,"71,422,800.00","9,527,747.00"
1997-11,,,,,,,,,,,,"125,645,000.00","18,168,045.00"
1997-12,,,,,,,,,,,,"63,123,429.00","9,751,487.00"
1998-02,,,,,,,,,,,,"15,649,100.00","2,174,435.00"
1998-03,,,,,,,,,,,,"3,000,000.00","412,029.00"
1998-04,,,,,,,,,,,,"3,000,000.00","412,029.00"
1998-06,,,,,,,,,,,,"15,383,625.00","1,615,281.00"
1998-09,,,,,,,,,,,,"32,691,100.00","3,110,914.00"
1998-10,,,,,,,,,,,,"45,551,308.00","4,797,903.00"
1998-11,,,,,,,,,,,,"14,695,116.00","1,666,626.00"
1998-12,,,,,,,,,,,,"14,607,764.00","1,656,312.00"
1999-03,,,,,,,,,,,,"15,668,800.00","1,362,029.00"
1999-05,,,,,,,,,,,,"15,495,742.00","1,352,406.00"
1999-06,,,,,,,,,,,,"99,806,071.00","11,544,438.00"
1999-07,,,,,,,,,,,,"96,835,381.00","11,799,192.00"
1999-08,,,,,,,,,,,,"37,665,400.00","5,065,328.00"
1999-09,,,,,,,,,,,,"76,282,698.00","11,464,392.00"
1999-10,,,,,,,,,,,,"16,126,973.00","2,403,699.00"
1999-11,,,,,,,,,,,,"114,626,925.00","18,760,978.00"
1999-12,,,,,,,,,,,,"99,768,265.00","17,907,090.00"
2000-01,,,,,,,,,,,,"18,690,064.00","3,262,305.00"
2000-02,,,,,,,,,,,,"78,434,940.00","14,123,201.00"
2000-03,,,,,,,,,,,,"46,475,200.00","8,530,360.00"
2000-04,,,,,,,,,,,,"8,764,517.00","1,935,606.00"
2000-05,,,,,,,,,,,,"80,063,784.00","14,012,163.00"
2000-06,,,,,,,,,,,,"90,118,215.00","18,273,849.00"
2000-07,,,,,,,,,,,,"142,842,151.00","31,062,944.00"
2000-08,,,,,,,,,,,,"211,444,885.00","45,327,504.00"
2000-09,,,,,,,,,,,,"162,950,596.00","39,136,352.00"
2000-10,,,,,,,,,,,,"152,949,194.00","36,911,343.00"
2000-11,,,,,,,,,,,,"120,343,211.00","27,035,174.00"
2000-12,,,,,,,,,,,,"363,661,126.00","80,520,709.00"
2001-01,,,,,,,,,,,,"48,493,712.00","9,455,608.00"
2001-02,,,,,,,,,,,,"109,538,865.00","21,303,240.00"
2001-03,,,,,,,,,,,,"96,235,396.00","19,759,446.00"
2001-04,,,,,,,,,,,,"63,328,962.00","12,451,276.00"
2001-05,,,,,,,,,,,,"136,989,150.00","26,441,623.00"
2001-06,,,,,,,,,,,,"128,512,918.00","27,204,746.00"
2001-07,,,,,,,,,,,,"210,953,177.00","42,556,466.00"
2001-08,,,,,,,,,,,,"204,257,388.00","37,776,461.00"
2001-09,,,,,,,,,,,,"72,130,322.00","14,128,968.00"
2001-10,,,,,,,,,,,,"303,513,567.00","56,103,957.00"
2001-11,,,,,,,,,,,,"225,627,571.00","35,849,439.00"
2001-12,,,,,,,,,,,,"166,393,810.00","24,075,174.00"
2002-01,,,,,,,,,,,,"92,354,171.00","13,996,249.00"
2002-02,,,,,,,,,,,,"91,495,688.00","14,007,573.00"
2002-03,,,,,,,,,,,,"220,277,941.00","34,307,737.00"
2002-04,,,,,,,,,,,,"159,987,070.00","29,320,775.00"
2002-05,,,,,,,,,,,,"105,556,111.00","20,764,088.00"
2002-06,,,,,,,,,,,,"177,490,658.00","33,826,518.00"
2002-07,,,,,,,,,,,,"540,547,824.00","101,972,710.00"
2002-08,,,,,,,,,,,,"318,010,385.00","62,424,771.00"
2002-09,,,,,,,,,,,,"388,867,431.00","75,631,259.00"
2002-10,,,,,,,,,,,,"177,813,298.00","37,198,230.00"
2002-11,,,,,,,,,,,,"469,871,275.00","96,200,697.00"
2002-12,,,,,,,,,,,,"287,305,060.00","56,212,707.00"
2003-01,,,,,,,,,,,,"278,462,308.00","55,667,588.00"
2003-02,,,,,,,,,,,,"235,698,289.00","54,435,474.00"
2003-03,,,,,,,,,,,,"331,210,007.00","79,379,262.00"
2003-04,,,,,,,,,,,,"295,670,802.00","67,870,694.00"
2003-05,,,,,,,,,,,,"449,749,993.00","89,093,323.00"
2003-06,,,,,,,,,,,,"595,945,981.00","114,251,623.00"
2003-07,,,,,,,,,,,,"388,966,236.00","77,673,802.00"
2003-08,,,,,,,,,,,,"499,187,231.00","103,515,474.00"
2003-09,,,,,,,,,,,,"583,500,117.00","122,385,836.00"
2003-10,,,,,,,,,,,,"204,291,338.00","43,682,725.00"
2003-11,,,,,,,,,,,,"593,638,422.00","122,650,121.00"
2003-12,,,,,,,,,,,,"798,467,515.00","171,816,855.00"
2004-01,,,,,,,,,,,,"469,508,791.00","103,430,062.00"
2004-02,,,,,,,,,,,,"595,337,897.00","135,370,023.00"
2004-03,,,,,,,,,,,,"689,603,032.00","161,106,423.00"
2004-04,"56,000.00",,,,,"56,000.00",,,,,,"1,081,934,036.00","256,492,076.00"
2004-05,,,,,,,,,,,,"721,872,756.00","180,233,806.00"
2004-06,,,,,,,,,,,,"1,656,486,954.00","431,942,805.00"
2004-07,0.00,,,,,"36,000.00",,,,,,"795,171,108.00","219,404,869.00"
2004-08,,,,,,,,,,,,"831,787,390.00","230,965,740.00"
2004-09,"121,000.00",,,,,"121,000.00",,,,,,"1,868,068,554.00","543,289,701.00"
2004-10,,,,,,"31,000.00",,,,,,"544,420,179.00","172,320,441.00"
2004-11,"61,000.00",,,,,"61,000.00",,,,,,"942,247,272.00","317,077,617.00"
2004-12,"144,000.00",,,,,"144,000.00",,,,,,"580,121,966.00","185,904,977.00"
2005-01,"119,000.00",,,,,"119,000.00",,,,,,"638,286,739.00","194,649,465.00"
2005-02,,,,,,,,,,,,"742,039,388.00","232,530,571.00"
2005-03,"120,000.00",,,,,,,,,,,"1,239,012,303.00","416,006,545.00"
2005-04,"60,000.00",,,,,"60,000.00",,,,,,"1,168,591,744.00","429,151,411.00"
2005-05,,,,,,,,,,,,"979,109,186.00","363,314,551.00"
2005-06,"119,005.00",,,,,"119,000.00",,,,,,"1,112,888,156.00","400,673,403.00"
2005-07,"60,000.00",,"21,000.00",,,"81,000.00",,,,,,"1,174,558,889.00","449,588,109.00"
2005-08,"61,000.00",,"37,004.00",,,"98,000.00",,,,,,"834,600,074.00","350,785,760.00"
2005-09,"60,000.00",,"223,000.00",,,"60,000.00",,,,,,"1,045,288,180.00","479,143,065.00"
2005-10,,,,,,,,,,,,"1,289,749,064.00","590,092,013.00"
2005-11,"124,003.00",,,,,"124,000.00",,,,,,"1,320,764,460.00","557,685,706.00"
2005-12,"117,000.00",,,,,"117,000.00",,,,,,"1,231,030,485.00","494,868,306.00"
2006-01,"119,371.00",,,,,"119,000.00",,,,,,"1,336,641,501.00","552,590,173.00"
2006-02,"127,891.00",,,,,"128,000.00",,,,,,"1,005,187,248.00","457,034,253.00"
2006-03,"211,233.00",,,,,"211,000.00",,,,,,"1,397,942,218.00","614,525,530.00"
2006-04,,,,,,,,,,,,"1,418,867,781.00","648,434,276.00"
2006-05,"169,000.00",,,,,"169,000.00",,,,,,"1,306,553,258.00","660,362,944.00"
2006-06,"60,000.00",,,,,"60,000.00",,,,,,"1,882,843,156.00","940,076,763.00"
2006-07,,,,,,,,,,,,"1,420,014,442.00","713,367,705.00"
2006-08,,,,,,0.00,,,,,,"1,189,370,190.00","628,115,631.00"
2006-09,"71,874.00","4,219,524.00",,,,"92,000.00",,,,,,"1,551,171,488.00","804,452,086.00"
2006-10,,,,,,,,,,,,"1,318,695,982.00","580,269,857.00"
2006-11,"94,367.00","6,062,520.00","32,642.00","2,154,287.00",,"143,000.00",,,,,,"1,026,124,917.00","424,443,503.00"
2006-12,"43,271.00","2,883,269.00",0.00,,,"69,000.00",,,,,,"1,112,304,733.00","467,477,417.00"
2007-01,"104,720.00","6,818,227.00",,,,"105,000.00",,,,,,"1,825,970,434.00","802,854,110.00"
2007-02,"42,630.00","2,755,314.00",,,"2,755,314.00","42,630.00",,,,,,"1,098,301,063.00","419,339,069.00"
2007-03,"60,407.00","3,510,101.00",,,"3,510,570.00","60,421.06",,,,,,"1,093,892,744.00","437,054,723.00"
2007-04,,,,,,,,,,,,"1,195,870,788.00","530,018,426.00"
2007-05,,,,,465.00,16.00,,,,,,"1,017,055,909.00","483,924,356.00"
2007-06,,,,,,,,,,,,"1,556,908,017.00","746,247,869.00"
2007-07,,,,,,,,,,,,"1,275,344,603.00","651,228,288.00"
2007-08,,,,,,,,,,,,"1,126,766,124.00","629,378,053.00"
2007-09,,,,,114.00,6.00,,,,,,"1,079,758,780.00","557,736,315.00"
2007-10,,,,,"21,724.00","1,034.00",,,,,,"1,043,932,342.00","569,212,382.00"
2007-11,,,"60,304.00","7,477,659.00","7,477,659.00","60,304.00",,,,,,"1,049,415,695.00","622,534,516.00"
2007-12,,,,,,,,,,,,"1,163,066,277.00","769,986,191.00"
2008-01,,,,,,,,,,,,"1,012,421,878.00","670,542,098.00"
2008-02,,,,,,,,,,,,"989,199,894.00","660,141,793.00"
2008-03,,,,,,,,,,,,"1,103,707,763.00","760,908,446.00"
2008-04,,,,,690.00,22.00,,,,,,"1,388,161,633.00","1,058,091,274.00"
2008-05,,,,,,,,,,,,"921,730,299.00","731,597,595.00"
2008-06,,,,,,,,,,,,"853,286,085.00","763,782,188.00"
2008-07,"64,992.00","7,956,510.00","22,428.00","8,635,023.00","25,494,414.00","148,761.00",,,,,,"783,065,223.00","759,561,867.00"
2008-08,"57,424.00","9,088,794.00","64,339.00","24,721,954.00","43,024,675.00","185,361.00",,,,,,"1,005,817,803.00","979,980,966.00"
2008-09,"96,757.00","12,652,722.00","44,485.00","17,042,320.00","29,696,175.00","141,253.00",,,,,,"903,330,514.00","752,322,420.00"
2008-10,,,"62,919.00","26,758,690.00","26,758,690.00","62,919.00",,,,,,"926,913,857.00","664,486,763.00"
2008-11,"78,314.00","7,804,697.00",,,"9,912,795.00","103,362.00",,,,,,"907,462,323.00","467,434,467.00"
2008-12,"73,213.00","7,400,291.00","20,029.00","8,011,728.00","18,161,140.00","118,312.00",,,,,,"843,169,192.00","317,185,957.00"
2009-01,0.00,0.00,"20,029.32","8,011,728.00","10,413,216.00","30,057.00",,,,,,"896,776,104.00","255,261,279.00"
2009-02,"159,894.21","12,865,099.00","20,014.66","7,855,864.00","30,429,793.00","315,998.00",,,,,,"1,026,246,401.00","319,451,726.00"
2009-03,"228,306.00","17,654,814.00","15,988.70","5,515,480.00","37,648,247.00","370,319.00",,,,,,"1,361,603,322.00","427,850,169.00"
2009-04,"686,641.00","47,985,466.00","93,284.37","14,226,490.00","97,230,897.00","1,200,537.00",,,,,,"1,226,490,426.00","423,532,459.00"
2009-05,"553,237.99","40,987,470.00","101,636.40","11,617,747.00","78,612,719.00","982,447.00",,,,,,"1,672,687,581.00","618,943,523.00"
2009-06,"699,326.00","53,305,529.00","146,229.00","17,470,111.00","121,040,133.00","1,479,674.00",,,,,,"1,422,601,930.00","598,251,548.00"
2009-07,"589,663.20","42,146,774.00","230,876.29","28,766,384.00","123,349,987.00","1,445,129.00",,,,,,"1,242,553,584.00","619,122,377.00"
2009-08,"673,030.50","47,603,400.00","294,262.93","37,186,985.00","111,822,096.00","1,328,011.00",,,,,,"1,370,478,547.00","639,299,892.00"
2009-09,"898,533.60","65,088,372.00","306,995.70","39,733,587.00","152,840,793.00","1,817,798.00",,,,,,"1,506,240,502.00","797,728,667.00"
2009-10,"485,091.10","33,933,519.00","168,255.20","21,002,162.00","83,722,772.00","1,027,974.00",,,,,,"1,227,514,184.00","600,817,376.00"
2009-11,"477,583.66","34,777,258.00","309,502.57","40,937,860.00","86,827,793.00","901,729.00",,,,,,"981,031,477.00","526,154,234.00"
2009-12,"476,572.70","34,589,367.00","206,771.00","28,741,528.00","87,087,772.00","887,648.00",,,,,,"1,369,490,312.00","771,830,534.00"
2010-01,"385,215.22","30,535,418.00","238,115.20","34,282,788.00","75,419,189.00","731,959.42",,"127,316,000.00",,,,"1,273,039,076.00","713,409,220.00"
2010-02,"415,307.00","36,144,351.00","314,325.60","49,465,326.00","100,087,365.00","901,754.40",,0.00,,,,"1,627,596,406.00","939,898,040.00"
2010-03,"594,470.00","55,871,950.00","492,166.22","78,019,540.00","145,745,771.00","1,230,039.42",,0.00,,,,"1,621,718,008.00","895,380,963.00"
2010-04,"335,724.14","31,210,053.00","429,389.30","75,801,004.00","124,920,306.00","930,646.55",,0.00,,,,"1,311,194,425.00","765,291,634.00"
2010-05,"562,145.92","59,657,310.00","400,089.10","76,385,532.00","143,832,203.00","1,038,623.46",,"63,340,061.00",,,,"1,572,859,072.00","946,940,194.00"
2010-06,"729,697.69","73,631,366.00","357,662.80","67,882,427.00","143,951,434.00","1,106,673.40",,0.00,,,,"1,288,372,489.00","788,589,849.00"
2010-07,"490,368.00","53,483,859.00","312,845.40","58,248,282.00","120,292,389.00","886,589.32",,0.00,,,,"1,120,056,512.00","621,062,692.00"
2010-08,"373,791.74","41,161,774.00","264,888.90","46,231,683.00","102,762,623.00","775,115.26",,0.00,,,,"939,620,535.00","519,044,144.00"
2010-09,"398,725.00","42,024,432.00","329,786.45","53,774,371.00","116,868,581.00","910,202.95",,"63,857,997.00",,,,"953,105,976.00","527,788,090.00"
2010-10,"280,011.00","28,676,303.00","479,896.08","82,133,951.00","124,160,661.00","883,837.15",,"63,291,119.00",,,,"1,078,743,466.00","625,319,343.00"
2010-11,"374,432.50","42,368,020.00","507,656.70","85,591,362.00","140,182,499.00","992,003.70",,0.00,,,,"1,065,683,430.00","622,929,580.00"
2010-12,"549,533.11","64,229,556.00","431,349.28","77,714,818.00","165,687,519.00","1,195,311.69",,"62,565,836.00",,,,"1,393,225,038.00","873,580,184.00"
2011-01,"373,932.50","42,382,202.00","386,733.28","69,878,297.00","143,932,654.00","1,057,985.03",,0.00,,,,"815,639,524.00","576,906,571.00"
2011-02,"264,219.00","28,650,465.00","163,862.12","29,014,621.00","75,070,688.00","576,802.97",,0.00,,,,"1,575,371,968.00","1,066,480,417.00"
2011-03,"189,422.00","21,315,910.00","288,840.00","48,572,625.00","92,753,482.00","659,975.99",,"63,648,000.00",,,,"1,560,558,164.00","1,212,032,783.00"
2011-04,"310,763.79","34,653,472.00","145,606.60","25,909,478.00","80,981,643.00","609,621.39",,0.00,,,,"1,531,820,734.00","1,298,863,278.00"
2011-05,"567,904.00","65,218,824.00","226,996.00","40,275,953.00","122,728,560.00","916,658.31",,0.00,,,,"1,796,037,859.00","1,617,983,811.00"
2011-06,"274,404.00","32,629,752.00","184,523.00","32,875,184.00","86,281,008.00","588,751.74",,0.00,,,,"1,527,017,773.00","1,291,658,638.00"
2011-07,"261,600.00","31,944,488.00","489,610.00","95,203,759.00","145,141,401.00","856,271.00",,"62,226,497.00",,,,"615,193,351.00","537,934,516.00"
2011-08,"352,534.75","43,237,745.00","232,246.00","49,929,636.00","135,695,786.00","863,922.61",,0.00,,,,"1,714,805,415.00","1,470,705,076.00"
