date,commodity_origin_country,Crude oil,Oil products and chemicals,unit
2022-03-11,Russia,339212,49999,tonne
2022-03-11,Turkey,0,0,tonne
2022-03-12,Russia,103755,0,tonne
2022-03-12,Turkey,0,0,tonne
2022-03-13,Russia,226097,0,tonne
2022-03-13,Turkey,0,0,tonne
2022-03-14,Russia,113226,52725,tonne
2022-03-14,Turkey,0,0,tonne
2022-03-15,Russia,113232,37791,tonne
2022-03-15,Turkey,0,0,tonne
2022-03-16,Russia,114385,0,tonne
2022-03-16,Turkey,0,0,tonne
2022-03-17,Russia,220274,52684,tonne
2022-03-17,Turkey,0,0,tonne
2022-03-18,Russia,0,37620,tonne
2022-03-18,Turkey,0,0,tonne
2022-03-19,Russia,323529,0,tonne
2022-03-19,Turkey,0,0,tonne
2022-03-20,Russia,112829,0,tonne
2022-03-20,Turkey,0,0,tonne
2022-03-21,Russia,113252,0,tonne
2022-03-21,Turkey,0,0,tonne
2022-03-22,Russia,0,16614,tonne
2022-03-22,Turkey,0,0,tonne
2022-03-23,Russia,0,45948,tonne
2022-03-23,Turkey,0,0,tonne
2022-03-24,Russia,0,0,tonne
2022-03-24,Turkey,0,0,tonne
2022-03-25,Russia,107508,0,tonne
2022-03-25,Turkey,0,0,tonne
2022-03-26,Russia,200370.0943790929,0,tonne
2022-03-26,Turkey,0,0,tonne
2022-03-27,Russia,114049,0,tonne
2022-03-27,Turkey,0,0,tonne
2022-03-28,Russia,0,0,tonne
2022-03-28,Turkey,0,0,tonne
2022-03-29,Russia,0,0,tonne
2022-03-29,Turkey,0,0,tonne
2022-03-30,Russia,0,39067,tonne
2022-03-30,Turkey,0,0,tonne
2022-03-31,Russia,0,0,tonne
2022-03-31,Turkey,0,0,tonne
2022-04-01,Russia,0,30720,tonne
2022-04-01,Turkey,0,0,tonne
2022-04-02,Russia,157671,117776,tonne
2022-04-02,Turkey,0,0,tonne
2022-04-03,Russia,0,13030,tonne
2022-04-03,Turkey,0,0,tonne
2022-04-04,Russia,109986,0,tonne
2022-04-04,Turkey,0,0,tonne
2022-04-05,Russia,109900,43550,tonne
2022-04-05,Turkey,0,0,tonne
2022-04-06,Russia,113252,0,tonne
2022-04-06,Turkey,0,0,tonne
2022-04-07,Russia,0,0,tonne
2022-04-07,Turkey,0,0,tonne
2022-04-08,Russia,0,0,tonne
2022-04-08,Turkey,0,0,tonne
2022-04-09,Russia,0,38734,tonne
2022-04-09,Turkey,0,0,tonne
2022-04-10,Russia,112937,0,tonne
2022-04-10,Turkey,0,0,tonne
2022-04-11,Russia,0,38734,tonne
2022-04-11,Turkey,0,0,tonne
2022-04-12,Russia,115867,102724,tonne
2022-04-12,Turkey,0,0,tonne
2022-04-13,Russia,114850,6980,tonne
2022-04-13,Turkey,0,0,tonne
2022-04-14,Russia,0,74997,tonne
2022-04-14,Turkey,0,0,tonne
2022-04-15,Russia,111107,0,tonne
2022-04-15,Turkey,0,0,tonne
2022-04-16,Russia,0,0,tonne
2022-04-16,Turkey,0,0,tonne
2022-04-17,Russia,223197,43550,tonne
2022-04-17,Turkey,0,0,tonne
2022-04-18,Russia,0,32310,tonne
2022-04-18,Turkey,0,0,tonne
2022-04-19,Russia,340075,0,tonne
2022-04-19,Turkey,0,0,tonne
2022-04-20,Russia,112459,39067,tonne
2022-04-20,Turkey,0,0,tonne
2022-04-21,Russia,108932,0,tonne
2022-04-21,Turkey,0,0,tonne
2022-04-22,Russia,52292,52620,tonne
2022-04-22,Turkey,0,0,tonne
2022-04-23,Russia,113252,101213,tonne
2022-04-23,Turkey,0,0,tonne
2022-04-24,Russia,115748,77468,tonne
2022-04-24,Turkey,0,0,tonne
2022-04-25,Russia,112504,0,tonne
2022-04-25,Turkey,0,0,tonne
2022-04-26,Russia,0,40597,tonne
2022-04-26,Turkey,0,0,tonne
2022-04-27,Russia,115867,0,tonne
2022-04-27,Turkey,0,0,tonne
2022-04-28,Russia,0,90029,tonne
2022-04-28,Turkey,0,0,tonne
2022-04-29,Russia,111107,38734,tonne
2022-04-29,Turkey,0,0,tonne
2022-04-30,Russia,114700,37343,tonne
2022-04-30,Turkey,0,0,tonne
2022-05-01,Russia,0,197999,tonne
2022-05-01,Turkey,0,0,tonne
2022-05-02,Russia,0,0,tonne
2022-05-02,Turkey,0,0,tonne
2022-05-03,Russia,0,39208,tonne
2022-05-03,Turkey,0,0,tonne
2022-05-04,Russia,379191,0,tonne
2022-05-04,Turkey,0,0,tonne
2022-05-05,Russia,113848,102617,tonne
2022-05-05,Turkey,0,0,tonne
2022-05-06,Russia,109980,0,tonne
2022-05-06,Turkey,0,0,tonne
2022-05-07,Russia,114795,0,tonne
2022-05-07,Turkey,0,0,tonne
2022-05-08,Russia,0,0,tonne
2022-05-08,Turkey,0,49990,tonne
2022-05-09,Russia,108932,47149,tonne
2022-05-09,Turkey,0,0,tonne
2022-05-10,Russia,0,38734,tonne
2022-05-10,Turkey,0,0,tonne
2022-05-11,Russia,0,38734,tonne
2022-05-11,Turkey,0,0,tonne
2022-05-12,Russia,112504,102677,tonne
2022-05-12,Turkey,0,0,tonne
2022-05-13,Russia,0,0,tonne
2022-05-13,Turkey,0,0,tonne
2022-05-14,Russia,189898,38734,tonne
2022-05-14,Turkey,0,0,tonne
2022-05-15,Russia,114055,0,tonne
2022-05-15,Turkey,0,0,tonne
2022-05-16,Russia,0,91356,tonne
2022-05-16,Turkey,0,0,tonne
2022-05-17,Russia,149999,37343,tonne
2022-05-17,Turkey,0,0,tonne
2022-05-18,Russia,0,0,tonne
2022-05-18,Turkey,0,0,tonne
2022-05-19,Russia,113252,77942,tonne
2022-05-19,Turkey,0,0,tonne
2022-05-20,Russia,0,38734,tonne
2022-05-20,Turkey,0,12000,tonne
2022-05-21,Russia,155524,0,tonne
2022-05-21,Turkey,0,0,tonne
2022-05-22,Russia,0,52725,tonne
2022-05-22,Turkey,0,0,tonne
2022-05-23,Russia,0,0,tonne
2022-05-23,Turkey,0,0,tonne
2022-05-24,Russia,0,0,tonne
2022-05-24,Turkey,0,0,tonne
2022-05-25,Russia,115405,52620,tonne
2022-05-25,Turkey,0,0,tonne
2022-05-26,Russia,0,38734,tonne
2022-05-26,Turkey,0,0,tonne
2022-05-27,Russia,0,47149,tonne
2022-05-27,Turkey,0,0,tonne
2022-05-28,Russia,0,0,tonne
2022-05-28,Turkey,0,0,tonne
2022-05-29,Russia,109980,0,tonne
2022-05-29,Turkey,0,0,tonne
2022-05-30,Russia,167282,0,tonne
2022-05-30,Turkey,0,0,tonne
2022-05-31,Russia,117055,0,tonne
2022-05-31,Turkey,0,0,tonne
2022-06-01,Russia,157620,38734,tonne
2022-06-01,Turkey,0,0,tonne
2022-06-02,Russia,224041,0,tonne
2022-06-02,Turkey,0,0,tonne
2022-06-03,Russia,0,0,tonne
2022-06-03,Turkey,0,0,tonne
2022-06-04,Russia,113969,38734,tonne
2022-06-04,Turkey,0,0,tonne
2022-06-05,Russia,0,0,tonne
2022-06-05,Turkey,0,0,tonne
2022-06-06,Russia,116905,91459,tonne
2022-06-06,Turkey,0,0,tonne
2022-06-07,Russia,0,0,tonne
2022-06-07,Turkey,0,0,tonne
2022-06-08,Russia,163417,0,tonne
2022-06-08,Turkey,0,0,tonne
2022-06-09,Russia,0,0,tonne
2022-06-09,Turkey,0,0,tonne
2022-06-10,Russia,158314,38734,tonne
2022-06-10,Turkey,0,0,tonne
2022-06-11,Russia,112504,0,tonne
2022-06-11,Turkey,0,0,tonne
2022-06-12,Russia,0,32302,tonne
2022-06-12,Turkey,0,0,tonne
2022-06-13,Russia,117055,38734,tonne
2022-06-13,Turkey,0,0,tonne
2022-06-14,Russia,109980,0,tonne
2022-06-14,Turkey,0,0,tonne
2022-06-15,Russia,0,0,tonne
2022-06-15,Turkey,0,0,tonne
2022-06-16,Russia,107023,32464,tonne
2022-06-16,Turkey,0,0,tonne
2022-06-17,Russia,108402,86229,tonne
2022-06-17,Turkey,0,0,tonne
2022-06-18,Russia,0,38734,tonne
2022-06-18,Turkey,0,0,tonne
2022-06-19,Russia,112459,0,tonne
2022-06-19,Turkey,0,0,tonne
2022-06-20,Russia,0,0,tonne
2022-06-20,Turkey,0,0,tonne
2022-06-21,Russia,0,0,tonne
2022-06-21,Turkey,0,0,tonne
2022-06-22,Russia,0,37432,tonne
2022-06-22,Turkey,0,0,tonne
2022-06-23,Russia,0,0,tonne
2022-06-23,Turkey,0,0,tonne
2022-06-24,Russia,0,0,tonne
2022-06-24,Turkey,0,0,tonne
2022-06-25,Russia,157620,0,tonne
2022-06-25,Turkey,0,0,tonne
2022-06-26,Russia,169197,52725,tonne
2022-06-26,Turkey,0,0,tonne
2022-06-27,Russia,0,37039,tonne
2022-06-27,Turkey,0,0,tonne
2022-06-28,Russia,0,0,tonne
2022-06-28,Turkey,0,0,tonne
2022-06-29,Russia,163417,95679,tonne
2022-06-29,Turkey,0,0,tonne
2022-06-30,Russia,222773,37297,tonne
2022-06-30,Turkey,0,0,tonne
2022-07-01,Russia,0,0,tonne
2022-07-01,Turkey,0,0,tonne
2022-07-02,Russia,109985,0,tonne
2022-07-02,Turkey,0,0,tonne
2022-07-03,Russia,0,0,tonne
2022-07-03,Turkey,0,0,tonne
2022-07-04,Russia,105330,0,tonne
2022-07-04,Turkey,0,0,tonne
2022-07-05,Russia,225457,0,tonne
2022-07-05,Turkey,0,0,tonne
2022-07-06,Russia,112504,0,tonne
2022-07-06,Turkey,0,0,tonne
2022-07-07,Russia,0,0,tonne
2022-07-07,Turkey,0,0,tonne
2022-07-08,Russia,0,0,tonne
2022-07-08,Turkey,0,0,tonne
2022-07-09,Russia,0,0,tonne
2022-07-09,Turkey,0,0,tonne
2022-07-10,Russia,157470,0,tonne
2022-07-10,Turkey,0,0,tonne
2022-07-11,Russia,0,38734,tonne
2022-07-11,Turkey,0,0,tonne
2022-07-12,Russia,112459,50057,tonne
2022-07-12,Turkey,0,0,tonne
2022-07-13,Russia,0,0,tonne
2022-07-13,Turkey,0,0,tonne
2022-07-14,Russia,163216,0,tonne
2022-07-14,Turkey,0,0,tonne
2022-07-15,Russia,0,45680,tonne
2022-07-15,Turkey,0,0,tonne
2022-07-16,Russia,0,0,tonne
2022-07-16,Turkey,0,51506,tonne
2022-07-17,Russia,0,0,tonne
2022-07-17,Turkey,0,0,tonne
2022-07-18,Russia,0,0,tonne
2022-07-18,Turkey,0,0,tonne
2022-07-19,Russia,0,88354,tonne
2022-07-19,Turkey,0,0,tonne
2022-07-20,Russia,0,0,tonne
2022-07-20,Turkey,0,0,tonne
2022-07-21,Russia,112504,45976,tonne
2022-07-21,Turkey,0,0,tonne
2022-07-22,Russia,0,39208,tonne
2022-07-22,Turkey,0,0,tonne
2022-07-23,Russia,0,49996,tonne
2022-07-23,Turkey,0,0,tonne
2022-07-24,Russia,0,0,tonne
2022-07-24,Turkey,0,0,tonne
2022-07-25,Russia,112459,88733,tonne
2022-07-25,Turkey,0,0,tonne
2022-07-26,Russia,0,0,tonne
2022-07-26,Turkey,0,0,tonne
2022-07-27,Russia,0,40558,tonne
2022-07-27,Turkey,0,0,tonne
2022-07-28,Russia,0,44990,tonne
2022-07-28,Turkey,0,0,tonne
2022-07-29,Russia,221251,0,tonne
2022-07-29,Turkey,0,0,tonne
2022-07-30,Russia,114880,0,tonne
2022-07-30,Turkey,0,0,tonne
2022-07-31,Russia,0,0,tonne
2022-07-31,Turkey,0,0,tonne
2022-08-01,Russia,0,47402,tonne
2022-08-01,Turkey,0,0,tonne
2022-08-02,Russia,0,0,tonne
2022-08-02,Turkey,0,0,tonne
2022-08-03,Russia,157016,0,tonne
2022-08-03,Turkey,0,0,tonne
2022-08-04,Russia,0,0,tonne
2022-08-04,Turkey,0,0,tonne
2022-08-05,Russia,0,47149,tonne
2022-08-05,Turkey,0,0,tonne
2022-08-06,Russia,0,0,tonne
2022-08-06,Turkey,0,0,tonne
2022-08-07,Russia,113969,0,tonne
2022-08-07,Turkey,0,0,tonne
2022-08-08,Russia,0,50057,tonne
2022-08-08,Turkey,0,0,tonne
2022-08-09,Russia,217143,0,tonne
2022-08-09,Turkey,0,0,tonne
2022-08-10,Russia,115785,127964,tonne
2022-08-10,Turkey,0,0,tonne
2022-08-11,Russia,112459,0,tonne
2022-08-11,Turkey,0,37067,tonne
2022-08-12,Russia,156424,0,tonne
2022-08-12,Turkey,0,0,tonne
2022-08-13,Russia,0,0,tonne
2022-08-13,Turkey,0,0,tonne
2022-08-14,Russia,112937,0,tonne
2022-08-14,Turkey,0,0,tonne
2022-08-15,Russia,0,79283,tonne
2022-08-15,Turkey,0,0,tonne
2022-08-16,Russia,0,74955,tonne
2022-08-16,Turkey,0,0,tonne
2022-08-17,Russia,0,0,tonne
2022-08-17,Turkey,0,0,tonne
2022-08-18,Russia,0,38734,tonne
2022-08-18,Turkey,0,0,tonne
2022-08-19,Russia,51416,47402,tonne
2022-08-19,Turkey,0,0,tonne
2022-08-20,Russia,0,0,tonne
2022-08-20,Turkey,0,0,tonne
2022-08-21,Russia,0,0,tonne
2022-08-21,Turkey,0,0,tonne
2022-08-22,Russia,0,0,tonne
2022-08-22,Turkey,0,0,tonne
2022-08-23,Russia,117055,0,tonne
2022-08-23,Turkey,0,0,tonne
2022-08-24,Russia,0,95737,tonne
2022-08-24,Turkey,0,0,tonne
2022-08-25,Russia,156424,0,tonne
2022-08-25,Turkey,0,0,tonne
2022-08-26,Russia,0,0,tonne
2022-08-26,Turkey,0,0,tonne
2022-08-27,Russia,0,0,tonne
2022-08-27,Turkey,0,0,tonne
2022-08-28,Russia,0,0,tonne
2022-08-28,Turkey,0,0,tonne
2022-08-29,Russia,112870,0,tonne
2022-08-29,Turkey,0,0,tonne
2022-08-30,Russia,0,0,tonne
2022-08-30,Turkey,0,0,tonne
2022-08-31,Russia,0,50922,tonne
2022-08-31,Turkey,0,0,tonne
2022-09-01,Russia,0,0,tonne
2022-09-01,Turkey,0,0,tonne
2022-09-02,Russia,115756,38734,tonne
2022-09-02,Turkey,0,0,tonne
2022-09-03,Russia,382646,32200,tonne
2022-09-03,Turkey,0,0,tonne
2022-09-04,Russia,0,0,tonne
2022-09-04,Turkey,0,0,tonne
2022-09-05,Russia,0,47402,tonne
2022-09-05,Turkey,0,0,tonne
2022-09-06,Russia,0,0,tonne
2022-09-06,Turkey,0,0,tonne
2022-09-07,Russia,0,0,tonne
2022-09-07,Turkey,0,0,tonne
2022-09-08,Russia,111013,0,tonne
2022-09-08,Turkey,0,0,tonne
2022-09-09,Russia,0,0,tonne
2022-09-09,Turkey,0,0,tonne
2022-09-10,Russia,51416,0,tonne
2022-09-10,Turkey,0,0,tonne
2022-09-11,Russia,0,43550,tonne
2022-09-11,Turkey,0,0,tonne
2022-09-12,Russia,0,0,tonne
2022-09-12,Turkey,0,0,tonne
2022-09-13,Russia,112504,0,tonne
2022-09-13,Turkey,0,0,tonne
2022-09-14,Russia,0,0,tonne
2022-09-14,Turkey,0,0,tonne
2022-09-15,Russia,231128,38734,tonne
2022-09-15,Turkey,0,0,tonne
2022-09-16,Russia,0,0,tonne
2022-09-16,Turkey,0,0,tonne
2022-09-17,Russia,0,0,tonne
