country,commodity,date,predicted_price
EU,lng,2022-06-01T00:00:00Z,970.9378659450149
EU,lng,2022-07-01T00:00:00Z,1275.7659206985802
EU,lng,2022-08-01T00:00:00Z,1275.7659206985802
EU,lng,2022-09-01T00:00:00Z,1275.7659206985802
EU,lng,2022-10-01T00:00:00Z,1162.401007588154
EU,lng,2022-11-01T00:00:00Z,1011.3750445560045
EU,lng,2022-12-01T00:00:00Z,1096.2426441322289
EU,natural_gas,2022-02-01T00:00:00Z,1079.1699968807748
EU,natural_gas,2022-03-01T00:00:00Z,1563.6236387260171
EU,natural_gas,2022-04-01T00:00:00Z,1231.6002646722498
EU,natural_gas,2022-05-01T00:00:00Z,1182.0381811412435
EU,natural_gas,2022-06-01T00:00:00Z,1323.779689721859
EU,natural_gas,2022-07-01T00:00:00Z,1772.2955131574038
EU,natural_gas,2022-08-01T00:00:00Z,1817.0081440420047
EU,natural_gas,2022-09-01T00:00:00Z,1817.0081440420047
EU,natural_gas,2022-10-01T00:00:00Z,1380.189254033435
EU,natural_gas,2022-11-01T00:00:00Z,1238.688764417369
EU,natural_gas,2022-12-01T00:00:00Z,1217.452696379423
EU,oil_products,2022-02-01T00:00:00Z,758.8104930991024
EU,oil_products,2022-03-01T00:00:00Z,889.4259727471506
EU,oil_products,2022-04-01T00:00:00Z,883.4633465575539
EU,oil_products,2022-05-01T00:00:00Z,926.1925348812114
EU,oil_products,2022-06-01T00:00:00Z,1013.4669482478979
EU,oil_products,2022-07-01T00:00:00Z,970.2156403825161
EU,oil_products,2022-08-01T00:00:00Z,895.9999512896611
EU,oil_products,2022-09-01T00:00:00Z,826.9997723691059
EU,oil_products,2022-10-01T00:00:00Z,805.4162833819058
EU,oil_products,2022-11-01T00:00:00Z,779.7572245016424
EU,oil_products,2022-12-01T00:00:00Z,694.5649902386704
India,coal,2022-02-01T00:00:00Z,177.88149869912132
India,coal,2022-03-01T00:00:00Z,251.69235502622024
India,coal,2022-04-01T00:00:00Z,228.3779165432764
India,coal,2022-05-01T00:00:00Z,250.609099562871
India,coal,2022-06-01T00:00:00Z,258.6663255264785
India,coal,2022-07-01T00:00:00Z,267.45797805389304
India,coal,2022-08-01T00:00:00Z,265.34694694588234
India,coal,2022-09-01T00:00:00Z,267.45797805389304
India,coal,2022-10-01T00:00:00Z,238.22581521212442
India,coal,2022-11-01T00:00:00Z,210.88613496444435
India,coal,2022-12-01T00:00:00Z,230.76321562708705
India,crude_oil,2022-02-01T00:00:00Z,593.0831875313415
India,crude_oil,2022-03-01T00:00:00Z,653.06533609199
India,crude_oil,2022-04-01T00:00:00Z,653.06533609199
India,crude_oil,2022-05-01T00:00:00Z,653.06533609199
India,crude_oil,2022-06-01T00:00:00Z,653.06533609199
India,crude_oil,2022-07-01T00:00:00Z,653.06533609199
India,crude_oil,2022-08-01T00:00:00Z,653.06533609199
India,crude_oil,2022-09-01T00:00:00Z,627.4943950527786
India,crude_oil,2022-10-01T00:00:00Z,608.6386602691061
India,crude_oil,2022-11-01T00:00:00Z,603.059214126988
India,crude_oil,2022-12-01T00:00:00Z,556.0650914612264
India,oil_products,2022-02-01T00:00:00Z,571.8711570773319
India,oil_products,2022-03-01T00:00:00Z,646.9566913176782
India,oil_products,2022-04-01T00:00:00Z,588.5842651892582
India,oil_products,2022-05-01T00:00:00Z,630.0924505252416
India,oil_products,2022-06-01T00:00:00Z,666.7455243175413
India,oil_products,2022-07-01T00:00:00Z,617.2124390167912
India,oil_products,2022-08-01T00:00:00Z,578.0258992861035
India,oil_products,2022-09-01T00:00:00Z,543.7715486918466
India,oil_products,2022-10-01T00:00:00Z,561.7477703982403
India,oil_products,2022-11-01T00:00:00Z,550.1523516640513
India,oil_products,2022-12-01T00:00:00Z,507.2289433719514
Japan,coal,2022-02-01T00:00:00Z,225.5118972834013
Japan,coal,2022-03-01T00:00:00Z,267.45797805389304
Japan,coal,2022-04-01T00:00:00Z,250.30653490711427
Japan,coal,2022-05-01T00:00:00Z,267.45797805389304
Japan,coal,2022-06-01T00:00:00Z,267.45797805389304
Japan,coal,2022-07-01T00:00:00Z,267.45797805389304
Japan,coal,2022-08-01T00:00:00Z,267.45797805389304
Japan,coal,2022-09-01T00:00:00Z,267.45797805389304
Japan,coal,2022-10-01T00:00:00Z,267.45797805389304
Japan,coal,2022-11-01T00:00:00Z,267.45797805389304
Japan,coal,2022-12-01T00:00:00Z,267.45797805389304
Japan,lng,2022-02-01T00:00:00Z,637.6946082596207
Japan,lng,2022-03-01T00:00:00Z,750.929995998498
Japan,lng,2022-04-01T00:00:00Z,702.8472727403893
