date,destination_region,commodity_group,Pricecap: 2021H1 - EU imports + EU/GB/NO ships,Pricecap: 2021H1 - EU imports only,Pricecap: SRMC - EU imports + EU/GB/NO ships,Pricecap: SRMC - EU imports only,Without price cap,unit
2021-12-24,China,oil,118568219.47936481,118568219.47936481,118568219.47936481,118568219.47936481,118568219.47936481,EUR
2021-12-24,EU,coal,23954292.253258526,23954292.253258526,23954292.253258526,23954292.253258526,23954292.253258526,EUR
2021-12-24,EU,gas,236179537.18805942,236179537.18805942,236179537.18805942,236179537.18805942,236179537.18805942,EUR
2021-12-24,EU,oil,157382564.35024968,157382564.35024968,157382564.35024968,157382564.35024968,157382564.35024968,EUR
2021-12-24,India,oil,152588970.74970505,152588970.74970505,152588970.74970505,152588970.74970505,152588970.74970505,EUR
2021-12-24,Others,gas,5588166.833992245,5588166.833992245,5588166.833992245,5588166.833992245,5588166.833992245,EUR
2021-12-24,Others,oil,27569388.25234398,27569388.25234398,27569388.25234398,27569388.25234398,27569388.25234398,EUR
2021-12-24,South Korea,coal,5094908.520807839,5094908.520807839,5094908.520807839,5094908.520807839,5094908.520807839,EUR
2021-12-24,Turkey,gas,24418744.810947727,24418744.810947727,24418744.810947727,24418744.810947727,24418744.810947727,EUR
2021-12-25,EU,coal,2471749.086685314,2471749.086685314,2471749.086685314,2471749.086685314,2471749.086685314,EUR
2021-12-25,EU,gas,228124083.6152223,228124083.6152223,228124083.6152223,228124083.6152223,228124083.6152223,EUR
2021-12-25,EU,oil,184066800.28221717,184066800.28221717,184066800.28221717,184066800.28221717,184066800.28221717,EUR
2021-12-25,Others,coal,2771508.473209562,2771508.473209562,2771508.473209562,2771508.473209562,2771508.473209562,EUR
2021-12-25,Others,gas,10926354.518380446,10926354.518380446,10926354.518380446,10926354.518380446,10926354.518380446,EUR
2021-12-25,Others,oil,97817649.44833857,97817649.44833857,97817649.44833857,97817649.44833857,97817649.44833857,EUR
